game_id,date,park,inning,half,outs,target_base,runner_id,runner_bats,pitcher_id,catcher_id,batter_id,count,score_bat,score_def,score_diff,on_1b,on_2b,on_3b,success
ANA202209280,2022/09/28,ANA01,1,0,2,2,brows003,L,lorem002,ohopl001,capec001,02,0,0,0,brows003,,kempt001,1
ANA202209280,2022/09/28,ANA01,5,0,2,2,kempt001,L,lorem002,ohopl001,murps001,01,1,3,-2,kempt001,,,1
ARI202204070,2022/04/07,PHO01,3,0,1,2,kim-h002,R,bumgm001,kellc002,nolaa002,01,0,0,0,kim-h002,,,1
ARI202204080,2022/04/08,PHO01,2,0,2,2,abrac001,L,kellm002,kellc002,alfaj002,01,0,0,0,abrac001,,,0
ARI202204090,2022/04/09,PHO01,8,0,1,2,machm001,R,kenni001,herrj003,voitl001,10,2,2,0,machm001,,,1
ARI202204090,2022/04/09,PHO01,9,0,2,2,azocj001,R,melam001,herrj003,cronj001,22,5,2,3,azocj001,,,0
ARI202204100,2022/04/10,PHO01,1,1,2,3,martk001,B,crisn001,alfaj002,walkc002,02,0,0,0,,martk001,,1
ARI202204120,2022/04/12,PHO01,7,0,1,2,sirij001,R,wendj001,herrj003,altuj001,12,1,1,0,sirij001,,,0
ARI202204130,2022/04/13,PHO01,6,0,0,2,altuj001,R,kellm002,kellc002,branm003,10,0,1,-1,altuj001,,,1
ARI202204130,2022/04/13,PHO01,6,1,0,2,perdg001,B,javic001,maldm001,hummc001,21,1,0,1,perdg001,,,1
ARI202204130,2022/04/13,PHO01,8,1,2,2,hummc001,B,montr004,maldm001,martk001,02,1,1,0,hummc001,,,1
ARI202204230,2022/04/23,PHO01,6,1,0,2,varsd001,L,ottaa001,nidot001,martk001,00,4,2,2,varsd001,,perdg001,1
ARI202204240,2022/04/24,PHO01,6,0,1,3,marts002,R,wendj001,herrj003,lindf001,01,1,1,0,,marts002,,1
ARI202204250,2022/04/25,PHO01,5,0,0,2,bettm001,R,kellm002,kellc002,freef001,00,2,0,2,bettm001,,,1
ARI202204260,2022/04/26,PHO01,3,0,2,2,turnt001,R,daviz001,herrj003,smitw003,11,3,0,3,turnt001,,,0
ARI202204270,2022/04/27,PHO01,7,0,1,2,riose001,L,ramin002,kellc002,lux-g001,32,0,1,-1,riose001,,,0
ARI202205060,2022/05/06,PHO01,2,0,2,2,hills005,L,kellm002,herrj003,iglej001,01,1,0,1,hills005,,,1
ARI202205070,2022/05/07,PHO01,6,1,2,2,martk001,B,freek001,diaze005,walkc002,12,0,0,0,martk001,,,1
ARI202205070,2022/05/07,PHO01,8,1,1,2,luplj001,R,coloa001,diaze005,martk001,11,0,0,0,luplj001,,,1
ARI202205070,2022/05/07,PHO01,8,1,1,3,luplj001,R,coloa001,diaze005,martk001,21,0,0,0,,luplj001,,1
ARI202205080,2022/05/08,PHO01,3,1,1,2,perad001,L,marqg001,nuned001,walkc002,10,3,0,3,perad001,,,0
ARI202205090,2022/05/09,PHO01,2,1,1,2,varsd001,L,herne002,stalj001,smitp002,12,3,2,1,varsd001,,,1
