game_id,date,park,inning,half,outs,play_seq,target_base,runner_id,runner_bats,pitcher_id,pitcher_throws,catcher_id,batter_id,count,score_bat,score_def,score_diff,on_1b,on_2b,on_3b,success,double_steal
ANA202506290,2025/06/29,ANA01,9,1,2,94,2,netoz001,R,finnk001,R,milld003,rengl001,00,4,4,0,netoz001,,,0,0
ANA202507090,2025/07/09,ANA01,1,0,2,5,2,garca005,R,hendk001,R,darnt001,heimj001,00,1,0,1,garca005,,,1,0
ANA202507090,2025/07/09,ANA01,4,0,0,32,2,langw001,R,hendk001,R,darnt001,carte001,02,3,4,-1,langw001,,,1,0
ANA202507090,2025/07/09,ANA01,4,0,1,34,3,langw001,R,hendk001,R,darnt001,burgj001,01,3,4,-1,,langw001,,1,0
ANA202507090,2025/07/09,ANA01,8,1,2,87,2,netoz001,R,jackl001,R,higak001,schan001,00,10,8,2,netoz001,,,1,0
ANA202507110,2025/07/11,ANA01,5,1,2,53,2,ohopl001,R,gravk001,R,herrj003,rengl001,01,4,4,0,ohopl001,,,1,0
ANA202507110,2025/07/11,ANA01,8,1,1,83,3,schan001,L,desca001,R,herrj003,wardt002,12,5,5,0,troum001,schan001,,1,0
ANA202507120,2025/07/12,ANA01,2,1,2,18,2,rengl001,B,gallz001,R,mccaj001,netoz001,21,1,1,0,rengl001,,,0,0
ANA202507130,2025/07/13,ANA01,8,1,1,70,2,netoz001,R,ginkk001,R,herrj003,troum001,22,1,5,-4,netoz001,,,1,0
ANA202507240,2025/07/24,ANA01,1,0,1,5,3,rodrj007,R,kikuy001,L,darnt001,arozr001,12,0,0,0,ralec001,rodrj007,,1,1
ANA202507240,2025/07/24,ANA01,1,0,1,5,2,ralec001,B,kikuy001,L,darnt001,arozr001,12,0,0,0,ralec001,rodrj007,,1,1
ANA202507240,2025/07/24,ANA01,6,0,1,53,2,willb004,R,quijj001,L,darnt001,crawj002,32,3,1,2,willb004,,moord002,1,0
ANA202507260,2025/07/26,ANA01,2,1,2,16,2,adelj001,R,kirbg001,R,garvm001,rengl001,00,1,0,1,adelj001,,,0,0
ANA202507260,2025/07/26,ANA01,3,1,2,24,2,netoz001,R,kirbg001,R,garvm001,troum001,11,1,1,0,netoz001,,,1,0
ANA202507260,2025/07/26,ANA01,4,0,0,29,2,naylj001,L,andet002,L,ohopl001,polaj001,01,2,1,1,naylj001,,,1,0
ANA202507260,2025/07/26,ANA01,5,1,0,42,2,rengl001,B,kirbg001,R,garvm001,wadel001,11,1,2,-1,rengl001,,ohopl001,1,0
ANA202507260,2025/07/26,ANA01,6,0,0,49,2,arozr001,R,fermj002,R,ohopl001,naylj001,21,3,2,1,arozr001,,,1,0
ANA202507260,2025/07/26,ANA01,8,0,2,79,2,willb004,R,fulmc001,R,ohopl001,crawj002,11,7,2,5,willb004,,,1,0
ANA202507270,2025/07/27,ANA01,5,0,0,28,2,naylj001,L,hendk001,R,darnt001,arozr001,01,0,0,0,naylj001,,,1,0
ANA202507270,2025/07/27,ANA01,5,0,2,32,3,naylj001,L,hendk001,R,darnt001,willb004,11,0,0,0,polaj001,naylj001,,1,0
ANA202507280,2025/07/28,ANA01,6,1,1,57,2,campg001,B,webbj002,R,heimj001,newmk001,01,6,3,3,campg001,,,1,0
ANA202507280,2025/07/28,ANA01,6,1,1,58,3,campg001,B,webbj002,R,heimj001,newmk001,11,6,3,3,,campg001,,1,0
ANA202507290,2025/07/29,ANA01,1,1,0,6,2,netoz001,R,corbp001,L,higak001,troum001,00,0,0,0,netoz001,,,1,0
ANA202507290,2025/07/29,ANA01,4,1,2,37,2,campg001,B,corbp001,L,higak001,newmk001,10,3,1,2,campg001,,,0,0
ANA202507290,2025/07/29,ANA01,6,1,2,63,3,netoz001,R,grayj003,R,higak001,troum001,00,7,4,3,,netoz001,,1,0
ANA202507290,2025/07/29,ANA01,8,1,0,87,2,campg001,B,bousc001,R,higak001,moncy001,00,7,5,2,campg001,,,1,0
ANA202507300,2025/07/30,ANA01,8,0,2,62,2,semim001,R,detmr001,L,ohopl001,garca005,00,2,1,1,semim001,,,1,0
ANA202508010,2025/08/01,ANA01,1,1,1,8,3,schan001,L,smits003,R,quere001,adelj001,22,0,0,0,wardt002,schan001,,1,1
ANA202508010,2025/08/01,ANA01,1,1,1,8,2,wardt002,R,smits003,R,quere001,adelj001,22,0,0,0,wardt002,schan001,,1,1
