game_id,date,park,inning,half,outs,target_base,runner_id,runner_bats,pitcher_id,pitcher_throws,catcher_id,batter_id,count,score_bat,score_def,score_diff,on_1b,on_2b,on_3b,success,double_steal
CHN202406160,2024/06/16,CHI11,1,0,2,2,gormn001,L,tailj001,R,amaym001,arenn001,10,0,0,0,gormn001,,goldp001,1,0
CHN202406160,2024/06/16,CHI11,8,1,0,2,taucm001,L,kitta001,R,pagep001,morec001,11,1,2,-1,taucm001,,,1,0
CHN202406160,2024/06/16,CHI11,9,1,1,2,happi001,B,helsr001,R,pagep001,buscm003,21,1,2,-1,happi001,,,1,0
CHN202406170,2024/06/17,CHI11,3,0,2,2,broot002,L,assaj001,R,amaym001,bailp001,02,0,0,0,broot002,,estrt001,1,0
CHN202406170,2024/06/17,CHI11,7,1,2,2,wisdp001,R,mille002,L,bailp001,bellc002,20,2,3,-1,wisdp001,,,1,0
CHN202406180,2024/06/18,CHI11,8,1,0,2,suzus001,R,roget002,R,casac001,happi001,11,3,2,1,suzus001,,bellc002,1,0
CHN202406180,2024/06/18,CHI11,8,1,2,3,happi001,B,roget002,R,casac001,boted002,00,4,2,2,swand001,happi001,,1,1
CHN202406180,2024/06/18,CHI11,8,1,2,2,swand001,R,roget002,R,casac001,boted002,00,4,2,2,swand001,happi001,,1,1
CHN202406190,2024/06/19,CHI11,3,1,0,2,crowp001,L,bives001,R,bailp001,hoern001,12,0,0,0,crowp001,,,1,0
CHN202406190,2024/06/19,CHI11,3,1,0,2,hoern001,R,bives001,R,bailp001,suzus001,12,0,0,0,hoern001,,crowp001,1,0
CHN202406190,2024/06/19,CHI11,7,1,1,2,bellc002,L,howas003,R,bailp001,morec001,12,3,1,2,bellc002,,hoern001,1,0
CHN202406190,2024/06/19,CHI11,7,1,2,2,swand001,R,howas003,R,bailp001,buscm003,10,5,1,4,swand001,,morec001,0,0
CHN202406220,2024/06/22,CHI11,1,1,1,2,suzus001,R,megit002,R,alvaf001,happi001,00,1,0,1,suzus001,,bellc002,1,0
CHN202406230,2024/06/23,CHI11,5,0,1,3,badeh001,R,assaj001,R,amaym001,nimmb001,00,3,0,3,lindf001,badeh001,,1,1
CHN202406230,2024/06/23,CHI11,5,0,1,2,lindf001,B,assaj001,R,amaym001,nimmb001,00,3,0,3,lindf001,badeh001,,1,1
CHN202407020,2024/07/02,CHI11,7,0,0,2,rojaj003,R,brewc002,R,nidot001,stotb001,01,5,1,4,rojaj003,,,0,0
CHN202407030,2024/07/03,CHI11,4,1,2,3,crowp001,L,wheez001,R,marcr001,amaym001,00,2,1,1,,crowp001,,1,0
CHN202407030,2024/07/03,CHI11,7,1,2,2,bellc002,L,stram001,L,marcr001,suzus001,00,3,3,0,bellc002,,,0,0
CHN202407030,2024/07/03,CHI11,8,0,2,2,merrw001,R,millt003,R,amaym001,pachc001,00,5,3,2,merrw001,,,1,0
CHN202407040,2024/07/04,CHI11,1,0,2,2,turnt001,R,tailj001,R,nidot001,marsb002,10,0,0,0,turnt001,,,1,0
CHN202407040,2024/07/04,CHI11,2,1,1,3,suzus001,R,sancc002,L,stubg001,swand001,11,0,1,-1,happi001,suzus001,,1,0
CHN202407060,2024/07/06,CHI11,2,0,2,2,hiurk001,R,hendk001,R,nidot001,wardt002,22,2,0,2,hiurk001,,schan001,0,0
CHN202407060,2024/07/06,CHI11,3,0,1,2,netoz001,R,brewc002,R,nidot001,guill001,22,4,0,4,netoz001,,ohopl001,1,0
CHN202407060,2024/07/06,CHI11,3,0,1,3,netoz001,R,brewc002,R,nidot001,adelj001,02,5,0,5,guill001,netoz001,,1,1
CHN202407060,2024/07/06,CHI11,3,0,1,2,guill001,L,brewc002,R,nidot001,adelj001,02,5,0,5,guill001,netoz001,,1,1
CHN202407190,2024/07/19,CHI11,4,0,0,2,carrc005,L,steej002,L,nidot001,perdg001,00,3,0,3,carrc005,,,1,0
CHN202407200,2024/07/20,CHI11,3,1,2,2,suzus001,R,gallz001,R,moreg001,happi001,12,0,0,0,suzus001,,,1,0
CHN202407200,2024/07/20,CHI11,8,0,2,2,pedej001,L,smyld001,L,amaym001,gurrl001,10,3,0,3,pedej001,,,1,0
CHN202407200,2024/07/20,CHI11,9,0,1,2,thoma004,L,biggh001,R,amaym001,perdg001,02,3,0,3,thoma004,,moreg001,1,0
CHN202407220,2024/07/22,CHI11,3,1,2,2,buscm003,L,myert001,R,contw002,suzus001,01,1,0,1,buscm003,,,1,0
