date,inning,half,outs,base_code,score_diff,target,p_model,success,layer,break_even,decision,actual_value,min_n
2025/06/06,1,0,1,12_,0,2,0.9933722,1,RE24,0.5919980671521771,GO,0.42471437910642673,
2025/06/06,2,1,1,12_,0,3,0.6045814,0,RE24,0.7292602919730533,HOLD,-0.7084347821959666,
2025/06/06,7,1,0,1__,0,2,0.73956835,0,WP,0.5414115080496607,GO,-0.10106079192730255,64.0
2025/06/06,3,1,2,1__,2,2,0.68098414,1,RE24,0.7143336095124673,HOLD,0.09218747726831977,
2025/06/06,2,1,1,1__,1,2,0.6784632,1,RE24,0.737073953057131,HOLD,0.1520335778796702,
2025/06/06,5,0,1,1__,-2,2,0.77365696,0,RE24,0.737073953057131,GO,-0.4262034573909564,
2025/06/06,5,1,2,1__,2,2,0.8133416,1,RE24,0.7143336095124673,GO,0.09218747726831977,
2025/06/07,3,0,0,1__,2,2,0.7710186,1,RE24,0.7314008155412673,GO,0.23021398310671604,
2025/06/07,3,0,2,1__,2,2,0.7527612,1,RE24,0.7143336095124673,GO,0.09218747726831977,
2025/06/07,6,0,0,1__,-2,2,0.83522326,1,RE24,0.7314008155412673,GO,0.23021398310671604,
2025/06/07,6,1,2,1_3,2,2,0.9146627,1,RE24,0.900822946052356,GO,0.05535319323452881,
2025/06/07,2,1,2,1__,3,2,0.7303779,1,RE24,0.7143336095124673,GO,0.09218747726831977,
2025/06/07,7,0,1,1__,2,2,0.7730349,1,WP,0.43116418346479773,GO,0.04894179894179884,99.0
2025/06/07,4,1,2,1__,0,2,0.6293694,0,RE24,0.7143336095124673,HOLD,-0.23052279015581767,
2025/06/07,5,0,2,1_3,1,2,0.87553614,1,RE24,0.900822946052356,HOLD,0.05535319323452881,
2025/06/07,1,0,0,1__,0,2,0.7684804,1,RE24,0.7314008155412673,GO,0.23021398310671604,
2025/06/07,3,0,0,1__,1,2,0.7690456,1,RE24,0.7314008155412673,GO,0.23021398310671604,
2025/06/07,5,0,0,1__,1,2,0.73001987,1,RE24,0.7314008155412673,HOLD,0.23021398310671604,
2025/06/07,8,1,2,1_3,-5,2,0.95109606,1,RE24,0.900822946052356,GO,0.05535319323452881,
2025/06/07,9,0,2,12_,-2,3,0.99720854,1,WP,0.4022108843537415,GO,0.05560828982755893,37.0
2025/06/07,9,0,2,12_,-2,2,0.99734795,1,WP,0.6547619047619048,GO,0.019727891156462583,35.0
2025/06/07,9,0,2,_2_,0,3,0.74313956,1,WP,1.0,HOLD,-0.05575033200531204,200.0
2025/06/07,2,1,1,_2_,-1,3,0.7011287,1,RE24,0.6866960128608449,GO,0.2638197474120524,
2025/06/07,5,0,1,1__,3,2,0.76419836,1,RE24,0.737073953057131,GO,0.1520335778796702,
2025/06/07,8,1,1,1_3,-3,2,0.92566246,1,WP,1.0,HOLD,-0.03991596638655462,63.0
2025/06/07,5,1,1,1__,0,2,0.64533114,0,RE24,0.737073953057131,HOLD,-0.4262034573909564,
2025/06/07,1,1,2,1_3,0,H,0.1383887,0,RE24,0.4085839049773361,HOLD,-0.5027718067654712,
2025/06/07,2,0,1,1__,0,2,0.5985648,1,RE24,0.737073953057131,HOLD,0.1520335778796702,
2025/06/07,5,0,0,1__,0,2,0.7668559,1,RE24,0.7314008155412673,GO,0.23021398310671604,
2025/06/07,5,0,1,1_3,1,2,0.86915565,1,RE24,0.8400293466931978,GO,0.16170619369029726,
2025/06/07,10,0,2,1__,1,2,0.7880527,0,WP,1.0,HOLD,-0.06300046323870023,190.0
2025/06/07,4,1,1,1__,-2,2,0.73120457,0,RE24,0.737073953057131,HOLD,-0.4262034573909564,
2025/06/07,8,0,2,1__,5,2,0.8403467,1,RE24,0.7143336095124673,GO,0.09218747726831977,
2025/06/08,5,0,1,1__,-1,2,0.77528846,1,RE24,0.737073953057131,GO,0.1520335778796702,
2025/06/08,2,0,2,1_3,-1,2,0.8763575,1,RE24,0.900822946052356,HOLD,0.05535319323452881,
2025/06/08,4,0,2,1__,-3,2,0.79145277,1,RE24,0.7143336095124673,GO,0.09218747726831977,
