runner_id,pitcher_id,catcher_id,target_base,steal_of_second,inning,late_inning,outs,balls,strikes,score_diff,close_game,runner_bats_lhb,runner_prior_sr,runner_prior_att,pitcher_prior_sr_allowed,catcher_prior_cs_rate,success
gurrl001,snelb001,sancg002,2,1,1,0,2,0,1,1,1,0,0.8214,2,0.75,0.2,1
tatif002,nelsr003,kellc002,2,1,3,0,1,0,0,1,1,0,0.75,0,0.6786,0.08,1
grist001,frial001,kellc002,2,1,6,0,2,1,1,5,0,1,0.625,1,0.7917,0.0769,1
bogax001,mcgos001,kellc002,2,1,9,1,1,3,2,5,0,0,0.75,0,0.625,0.0741,1
phamt001,hillr001,campl002,3,0,1,0,2,1,2,1,1,0,0.6786,2,0.8214,0.2,1
tatif002,pfaab001,herrj003,3,0,1,0,1,0,0,1,1,0,0.7917,1,0.7188,0.2143,1
semim001,ceccs001,moreg001,2,1,3,0,2,0,1,0,1,0,0.75,0,0.75,0.4444,1
seagc001,ginkk001,moreg001,2,1,11,1,2,0,2,0,1,1,0.75,0,0.625,0.4286,1
carrc005,grayj003,heimj001,2,1,2,0,2,1,2,3,0,1,0.8816,14,0.625,0.3636,1
phamt001,andeg002,heimj001,2,1,5,0,2,0,0,5,0,0,0.7188,3,0.75,0.3333,1
martn004,castm002,moreg001,2,1,8,1,2,0,0,0,1,0,0.7917,1,0.875,0.4138,1
